0,1,2,3,4,5
electionYear,electionID,electoralUnitID,candidateID,caseNum,protNum
2012,1699,87718,210000000226,Informação ainda não disponível,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=undefined&comboTribunal=null
2016,2,14133,60000002853,264520166060039,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=536552016&comboTribunal=ce
2016,2,04600,140000011472,1340320166140023,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=529852016&comboTribunal=pa
2016,2,04030,140000021241,2681120166140094,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=644932016&comboTribunal=pa
2016,2,74691,160000004741,642320166160025,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=908412016&comboTribunal=pr
2016,2,66079,250000091295,3812520166260063,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=2761372016&comboTribunal=sp
2016,2,66079,250000085944,3405820166260063,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=2559942016&comboTribunal=sp
2016,2,65498,250000052895,7253620166260053,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=2110332016&comboTribunal=sp
2016,2,63118,250000076442,3003520166260206,http://inter03.tse.jus.br/sadpPush/ExibirDadosProcesso.do?nprot=2435182016&comboTribunal=sp
